portco_id,quarter,licensed_users,mau,dau,power_users,aiq_score,csat_score,training_completion_pct
PC001,2024Q4,990,445,275,155,55,6.8,60
PC001,2025Q1,990,524,340,183,61,7.0,67
PC001,2025Q2,990,603,410,211,67,7.3,74
PC001,2025Q3,990,683,484,239,73,7.5,81
PC001,2025Q4,990,762,563,266,79,7.8,88
PC002,2024Q4,770,346,214,121,56,6.8,61
PC002,2025Q1,770,408,265,142,62,7.1,68
PC002,2025Q2,770,469,318,164,68,7.3,75
PC002,2025Q3,770,531,377,185,74,7.6,82
PC002,2025Q4,770,592,438,207,80,7.8,89
PC003,2024Q4,1210,544,337,190,57,6.9,62
PC003,2025Q1,1210,641,416,224,63,7.1,69
PC003,2025Q2,1210,738,501,258,69,7.4,76
PC003,2025Q3,1210,834,592,291,75,7.6,83
PC003,2025Q4,1210,931,688,325,81,7.9,90
PC004,2024Q4,935,420,260,147,58,6.9,63
PC004,2025Q1,935,495,321,173,64,7.1,70
PC004,2025Q2,935,570,387,199,70,7.4,77
PC004,2025Q3,935,645,457,225,76,7.6,84
PC004,2025Q4,935,719,532,251,82,7.9,91
PC005,2024Q4,1540,693,429,242,59,6.9,64
PC005,2025Q1,1540,816,530,285,65,7.2,71
PC005,2025Q2,1540,939,638,328,71,7.4,78
PC005,2025Q3,1540,1062,754,371,77,7.7,85
PC005,2025Q4,1540,1185,876,414,83,7.9,92
PC006,2024Q4,495,222,137,77,60,7.0,65
PC006,2025Q1,495,262,170,91,66,7.2,72
PC006,2025Q2,495,301,204,105,72,7.5,79
PC006,2025Q3,495,341,242,119,78,7.7,86
PC006,2025Q4,495,381,281,133,84,8.0,93
PC007,2024Q4,660,297,184,103,61,7.0,66
PC007,2025Q1,660,349,226,122,67,7.2,73
PC007,2025Q2,660,402,273,140,73,7.5,80
PC007,2025Q3,660,455,323,159,79,7.7,87
PC007,2025Q4,660,508,375,177,85,8.0,94
PC008,2024Q4,1155,519,321,181,62,7.0,67
PC008,2025Q1,1155,612,397,214,68,7.3,74
PC008,2025Q2,1155,704,478,246,74,7.5,81
PC008,2025Q3,1155,796,565,278,80,7.8,88
PC008,2025Q4,1155,889,657,311,86,8.0,95
PC009,2024Q4,715,321,199,112,63,7.0,68
PC009,2025Q1,715,378,245,132,69,7.3,75
PC009,2025Q2,715,436,296,152,75,7.5,82
PC009,2025Q3,715,493,350,172,81,7.8,89
PC009,2025Q4,715,550,407,192,87,8.0,96
PC010,2024Q4,550,247,153,86,64,7.1,69
PC010,2025Q1,550,291,189,101,70,7.3,76
PC010,2025Q2,550,335,227,117,76,7.6,83
PC010,2025Q3,550,379,269,132,82,7.8,90
PC010,2025Q4,550,423,313,148,88,8.1,97
