portco_id,quarter,ai_spend_budget_m,ai_spend_actual_m,ai_revenue_m,cost_savings_m,ebitda_uplift_pp
PC001,2024Q4,1.3,1.2,5.0,1.25,4.0
PC001,2025Q1,1.51,1.4,5.9,1.48,5.1
PC001,2025Q2,1.73,1.6,6.8,1.7,6.2
PC001,2025Q3,1.94,1.8,7.7,1.93,7.3
PC001,2025Q4,2.16,2.0,8.6,2.15,8.4
PC002,2024Q4,1.57,1.45,6.8,1.7,4.2
PC002,2025Q1,1.78,1.65,8.02,2.0,5.3
PC002,2025Q2,2.0,1.85,9.25,2.31,6.4
PC002,2025Q3,2.21,2.05,10.47,2.62,7.5
PC002,2025Q4,2.43,2.25,11.7,2.92,8.6
PC003,2024Q4,1.84,1.7,8.6,2.15,4.4
PC003,2025Q1,2.05,1.9,10.15,2.54,5.5
PC003,2025Q2,2.27,2.1,11.7,2.92,6.6
PC003,2025Q3,2.48,2.3,13.24,3.31,7.7
PC003,2025Q4,2.7,2.5,14.79,3.7,8.8
PC004,2024Q4,2.11,1.95,10.4,2.6,4.6
PC004,2025Q1,2.32,2.15,12.27,3.07,5.7
PC004,2025Q2,2.54,2.35,14.14,3.54,6.8
PC004,2025Q3,2.75,2.55,16.02,4.0,7.9
PC004,2025Q4,2.97,2.75,17.89,4.47,9.0
PC005,2024Q4,2.38,2.2,12.2,3.05,4.8
PC005,2025Q1,2.59,2.4,14.4,3.6,5.9
PC005,2025Q2,2.81,2.6,16.59,4.15,7.0
PC005,2025Q3,3.02,2.8,18.79,4.7,8.1
PC005,2025Q4,3.24,3.0,20.98,5.25,9.2
PC006,2024Q4,2.65,2.45,14.0,3.5,5.0
PC006,2025Q1,2.86,2.65,16.52,4.13,6.1
PC006,2025Q2,3.08,2.85,19.04,4.76,7.2
PC006,2025Q3,3.29,3.05,21.56,5.39,8.3
PC006,2025Q4,3.51,3.25,24.08,6.02,9.4
PC007,2024Q4,2.92,2.7,15.8,3.95,5.2
PC007,2025Q1,3.13,2.9,18.64,4.66,6.3
PC007,2025Q2,3.35,3.1,21.49,5.37,7.4
PC007,2025Q3,3.56,3.3,24.33,6.08,8.5
PC007,2025Q4,3.78,3.5,27.18,6.79,9.6
PC008,2024Q4,3.19,2.95,17.6,4.4,5.4
PC008,2025Q1,3.4,3.15,20.77,5.19,6.5
PC008,2025Q2,3.62,3.35,23.94,5.99,7.6
PC008,2025Q3,3.83,3.55,27.1,6.78,8.7
PC008,2025Q4,4.05,3.75,30.27,7.57,9.8
PC009,2024Q4,3.46,3.2,19.4,4.85,5.6
PC009,2025Q1,3.67,3.4,22.89,5.72,6.7
PC009,2025Q2,3.89,3.6,26.38,6.59,7.8
PC009,2025Q3,4.1,3.8,29.88,7.47,8.9
PC009,2025Q4,4.32,4.0,33.37,8.34,10.0
PC010,2024Q4,3.73,3.45,21.2,5.3,5.8
PC010,2025Q1,3.94,3.65,25.02,6.25,6.9
PC010,2025Q2,4.16,3.85,28.83,7.21,8.0
PC010,2025Q3,4.37,4.05,32.65,8.16,9.1
PC010,2025Q4,4.59,4.25,36.46,9.12,10.2
