portco_id,quarter,privacy_score,model_risk_score,regulatory_score,audit_readiness_score,shadow_ai_tools
PC001,2024Q4,72,68,70,69,6
PC001,2025Q1,75,71,73,73,5
PC001,2025Q2,78,74,76,77,4
PC001,2025Q3,81,77,79,81,3
PC001,2025Q4,84,80,82,85,2
PC002,2024Q4,73,69,71,70,6
PC002,2025Q1,76,72,74,74,5
PC002,2025Q2,79,75,77,78,4
PC002,2025Q3,82,78,80,82,3
PC002,2025Q4,85,81,83,86,2
PC003,2024Q4,74,70,72,71,6
PC003,2025Q1,77,73,75,75,5
PC003,2025Q2,80,76,78,79,4
PC003,2025Q3,83,79,81,83,3
PC003,2025Q4,86,82,84,87,2
PC004,2024Q4,75,71,73,72,6
PC004,2025Q1,78,74,76,76,5
PC004,2025Q2,81,77,79,80,4
PC004,2025Q3,84,80,82,84,3
PC004,2025Q4,87,83,85,88,2
PC005,2024Q4,76,72,74,73,6
PC005,2025Q1,79,75,77,77,5
PC005,2025Q2,82,78,80,81,4
PC005,2025Q3,85,81,83,85,3
PC005,2025Q4,88,84,86,89,2
PC006,2024Q4,77,73,75,74,6
PC006,2025Q1,80,76,78,78,5
PC006,2025Q2,83,79,81,82,4
PC006,2025Q3,86,82,84,86,3
PC006,2025Q4,89,85,87,90,2
PC007,2024Q4,78,74,76,75,6
PC007,2025Q1,81,77,79,79,5
PC007,2025Q2,84,80,82,83,4
PC007,2025Q3,87,83,85,87,3
PC007,2025Q4,90,86,88,91,2
PC008,2024Q4,79,75,77,76,6
PC008,2025Q1,82,78,80,80,5
PC008,2025Q2,85,81,83,84,4
PC008,2025Q3,88,84,86,88,3
PC008,2025Q4,91,87,89,92,2
PC009,2024Q4,80,76,78,77,6
PC009,2025Q1,83,79,81,81,5
PC009,2025Q2,86,82,84,85,4
PC009,2025Q3,89,85,87,89,3
PC009,2025Q4,92,88,90,93,2
PC010,2024Q4,81,77,79,78,6
PC010,2025Q1,84,80,82,82,5
PC010,2025Q2,87,83,85,86,4
PC010,2025Q3,90,86,88,90,3
PC010,2025Q4,93,89,91,94,2
